"","fips","netwp_h"
"1","01001",0.00408127065747976
"2","01003",-0.0548772290349007
"3","01005",NA
"4","01007",NA
"5","01009",NA
"6","01011",NA
"7","01013",NA
"8","01015",NA
"9","01017",NA
"10","01019",NA
"11","01021",NA
"12","01023",NA
"13","01025",NA
"14","01027",NA
"15","01029",NA
"16","01031",NA
"17","01033",NA
"18","01035",NA
"19","01037",NA
"20","01039",NA
"21","01041",NA
"22","01043",NA
"23","01045",NA
"24","01047",NA
"25","01049",NA
"26","01051",NA
"27","01053",NA
"28","01055",NA
"29","01057",NA
"30","01059",NA
"31","01061",NA
"32","01063",NA
"33","01065",NA
"34","01067",NA
"35","01069",NA
"36","01071",NA
"37","01073",-0.0190545357763767
"38","01075",NA
"39","01077",NA
"40","01079",NA
"41","01081",NA
"42","01083",0.0090871537104249
"43","01085",NA
"44","01087",NA
"45","01089",0.00799873191863298
"46","01091",NA
"47","01093",NA
"48","01095",NA
"49","01097",-0.0079181082546711
"50","01099",NA
"51","01101",-0.0179593600332737
"52","01103",-0.0225558113306761
"53","01105",NA
"54","01107",NA
"55","01109",NA
"56","01111",NA
"57","01113",NA
"58","01115",-0.0297634042799473
"59","01117",-0.0223203543573618
"60","01119",NA
"61","01121",NA
"62","01123",NA
"63","01125",NA
"64","01127",NA
"65","01129",NA
"66","01131",NA
"67","01133",NA
"68","02013",NA
"69","02016",NA
"70","02020",-0.0198730118572712
"71","02050",NA
"72","02060",NA
"73","02068",NA
"74","02070",NA
"75","02090",-0.0346946381032467
"76","02100",NA
"77","02110",0.0344609878957272
"78","02122",NA
"79","02130",NA
"80","02150",NA
"81","02164",NA
"82","02170",-0.0112277558073401
"83","02180",NA
"84","02185",NA
"85","02188",NA
"86","02201",NA
"87","02220",NA
"88","02232",NA
"89","02240",NA
"90","02261",NA
"91","02270",NA
"92","02280",NA
"93","02282",NA
"94","02290",NA
"95","04001",NA
"96","04003",-0.0734475702047348
"97","04005",-0.174243122339249
"98","04007",-0.143865749239922
"99","04009",NA
"100","04011",NA
"101","04012",NA
"102","04013",-0.244703069329262
"103","04015",-0.215975984930992
"104","04017",-0.219717010855675
"105","04019",-0.108852483332157
"106","04021",NA
"107","04023",-0.269173592329025
"108","04025",-0.149604231119156
"109","04027",-0.146476805210114
"110","05001",NA
"111","05003",NA
"112","05005",-0.0395709462463856
"113","05007",-0.0394437722861767
"114","05009",0.007321170065552
"115","05011",NA
"116","05013",NA
"117","05015",NA
"118","05017",NA
"119","05019",-0.000745428376831114
"120","05021",NA
"121","05023",NA
"122","05025",NA
"123","05027",NA
"124","05029",NA
"125","05031",0.00472305156290531
"126","05033",0.0138230202719569
"127","05035",-0.0221041422337294
"128","05037",-0.0657200440764427
"129","05039",NA
"130","05041",NA
"131","05043",0.0282677728682756
"132","05045",0.0144702661782503
"133","05047",NA
"134","05049",NA
"135","05051",0.00710085779428482
"136","05053",NA
"137","05055",0.0316875316202641
"138","05057",NA
"139","05059",-0.00679548038169742
"140","05061",NA
"141","05063",-0.00442799879238009
